,longitude,latitude
Y1,124.15572,43.034597
Y2,124.156102,43.034128
Y3,124.155622,43.033841
Y4,124.155192,43.034203
Y5,124.155695,43.034145
Y6,124.095807,43.232558
Y7,124.09632,43.232008
Y8,124.097015,43.232257
Y9,124.096622,43.232769
Y10,124.096398,43.23241
Y11,124.687577,43.13693
Y12,124.687928,43.136302
Y13,124.688707,43.13638
Y14,124.688345,43.137006
Y15,124.687978,43.136734
Y16,125.421122,43.507869
Y17,125.420973,43.508464
Y18,125.421557,43.508637
Y19,125.421688,43.508008
Y20,125.421312,43.508395
Y21,124.727865,43.428159
Y22,124.727583,43.428599
Y23,124.728173,43.42885
Y24,124.728457,43.428463
Y25,124.727992,43.42857
Y26,124.839918,43.587129
Y27,124.839295,43.587173
Y28,124.839192,43.587616
Y29,124.839973,43.587596
Y30,124.839603,43.587395
Y31,124.851135,43.851224
Y32,124.850425,43.851548
Y33,124.849922,43.851066
Y34,124.850553,43.850743
Y35,124.850468,43.851213
Y36,125.574512,43.901172
Y37,125.574157,43.900489
Y38,125.575045,43.900152
Y39,125.575482,43.900737
Y40,125.574847,43.900471
Y41,125.601272,44.185726
Y42,125.600907,44.185075
Y43,125.600078,44.185294
Y44,125.600243,44.185809
Y45,125.600373,44.185458
Y46,125.67642,44.373246
Y47,125.676582,44.37276
Y48,125.677382,44.372808
Y49,125.677242,44.373362
Y50,125.676912,44.373061
Y51,126.027733,44.319367
Y52,126.02763,44.320027
Y53,126.028497,44.320148
Y54,126.028687,44.319477
Y55,126.028182,44.319741
Y56,125.823872,44.801273
Y57,125.82363,44.800674
Y58,125.822918,44.800776
Y59,125.823127,44.801418
Y60,125.82341,44.801015
Y61,125.69085,44.337221
Y62,125.690473,44.337709
Y63,125.689825,44.337526
Y64,125.69025,44.337021
Y65,125.690447,44.337366
Y66,126.183912,45.116048
Y67,126.184713,45.11621
Y68,126.184525,45.116817
Y69,126.183872,45.116768
Y70,126.18438,45.116552
Y71,126.569037,45.139754
Y72,126.569832,45.140097
Y73,126.56954,45.140617
Y74,126.568622,45.140302
Y75,126.569198,45.140169
Y76,125.965903,45.246283
Y77,125.966568,45.245815
Y78,125.967303,45.246219
Y79,125.966692,45.246739
Y80,125.96661,45.246322
Y81,126.42305,45.327504
Y82,126.423118,45.326956
Y83,126.424015,45.327071
Y84,126.423928,45.327708
Y85,126.423517,45.327317
Y86,126.711007,45.468815
Y87,126.710872,45.469403
Y88,126.711777,45.469582
Y89,126.711973,45.469091
Y90,126.711452,45.469211
Y91,126.147173,45.714871
Y92,126.14683,45.714667
Y93,126.146563,45.715019
Y94,126.146902,45.714886
Y95,126.146953,45.715105
Y96,126.235047,46.115239
Y97,126.23494,46.115895
Y98,126.234183,46.115874
Y99,126.234578,46.115601
Y100,126.234195,46.115217
Y101,126.541755,46.059994
Y102,126.541742,46.060336
Y103,126.54131,46.060419
Y104,126.541475,46.06019
Y105,126.541207,46.059992
Y106,127.506228,45.90844
Y107,127.505353,45.908005
Y108,127.505735,45.907464
Y109,127.505808,45.907852
Y110,127.506572,45.907758
Y111,127.814488,46.286204
Y112,127.814533,46.287203
Y113,127.813987,46.287244
Y114,127.813927,46.286243
Y115,127.81425,46.286646
Y116,127.116707,46.423963
Y117,127.11564,46.424023
Y118,127.115703,46.42497
Y119,127.116712,46.424884
Y120,127.116115,46.424395
Y121,126.565915,46.521871
Y122,126.565712,46.522208
Y123,126.566222,46.522373
Y124,126.56613,46.522086
Y125,126.56645,46.522085
Y126,126.470377,46.848556
Y127,126.470292,46.849038
Y128,126.469678,46.849019
Y129,126.470038,46.848791
Y130,126.469697,46.848573
Y131,127.21946,46.935921
Y132,127.21901,46.936556
Y133,127.219253,46.936585
Y134,127.219383,46.936244
Y135,127.219655,46.935959
Y136,125.95504,47.097158
Y137,125.955028,47.096894
Y138,125.954492,47.096848
Y139,125.954738,47.097027
Y140,125.954403,47.097167
Y141,127.198912,47.222783
Y142,127.197592,47.222832
Y143,127.197842,47.222054
Y144,127.198992,47.221982
Y145,127.198268,47.22253
Y146,126.900462,47.457456
Y147,126.901732,47.457506
Y148,126.901862,47.45687
Y149,126.901092,47.457264
Y150,126.900602,47.456814
Y151,126.838823,47.507209
Y152,126.83875,47.507566
Y153,126.839223,47.507615
Y154,126.839045,47.507396
Y155,126.839323,47.507239
Y156,127.010177,47.672248
Y157,127.010595,47.672305
Y158,127.010768,47.671917
Y159,127.010468,47.672083
Y160,127.010317,47.671832
Y161,127.337808,47.659013
Y162,127.338205,47.658752
Y163,127.338672,47.658934
Y164,127.338293,47.65893
Y165,127.338388,47.659161
Y166,127.46788,47.552824
Y167,127.468093,47.551853
Y168,127.46725,47.551828
Y169,127.467038,47.552782
Y170,127.467637,47.552406
Y171,126.080053,47.569565
Y172,126.079237,47.568411
Y173,126.079055,47.569307
Y174,126.070905,47.569797
Y175,126.079557,47.569287
Y176,125.645688,47.634694
Y177,125.645598,47.635397
Y178,125.646505,47.635953
Y179,125.64739,47.635906
Y180,125.646597,47.635806
Y181,124.927698,48.137875
Y182,124.92843,48.138327
Y183,124.92843,48.137472
Y184,124.927258,48.137311
Y185,124.92697,48.138418
Y186,125.507313,48.075614
Y187,125.508337,48.076057
Y188,125.50814,48.07687
Y189,125.506982,48.076972
Y190,125.507723,48.076679
Y191,126.05495,48.000672
Y192,126.05473,48.001501
Y193,126.054018,48.001194
Y194,126.054455,48.000458
Y195,126.054752,48.000064
Y196,126.916284,48.017187
Y197,126.91562,48.017958
Y198,126.914467,48.017505
Y199,126.915347,48.017588
Y200,126.915037,48.016964
Y201,126.25801,48.335079
Y202,126.256565,48.335264
Y203,126.256353,48.334394
Y204,126.25721,48.334879
Y205,126.257928,48.334367
Y206,126.858495,48.396686
Y207,126.858952,48.395791
Y208,126.860183,48.395728
Y209,126.860193,48.396512
Y210,126.85945,48.396102
Y211,126.248672,48.464228
Y212,126.249053,48.46334
Y213,126.250095,48.463292
Y214,126.249357,48.463662
Y215,126.249628,48.464332
Y216,125.627037,48.484857
Y217,125.625683,48.484832
Y218,125.625753,48.484019
Y219,125.627032,48.48402
Y220,125.626403,48.484435
Y221,124.941813,48.568164
Y222,124.943157,48.568271
Y223,124.943028,48.569207
Y224,124.94176,48.569121
Y225,124.942562,48.56883
Y226,125.435742,48.753124
Y227,125.436218,48.753061
Y228,125.437433,48.753317
Y229,125.436617,48.753226
Y230,125.43697,48.753649
Y231,125.115358,48.89127
Y232,125.11518,48.892117
Y233,125.116552,48.89227
Y234,125.116867,48.891458
Y235,125.116148,48.891812
Y236,126.29966,48.799208
Y237,126.301122,48.799222
Y238,126.301208,48.800103
Y239,126.299798,48.800154
Y240,126.300453,48.799683
Y241,126.405537,48.966708
Y242,126.405515,48.965811
Y243,126.406847,48.96565
Y244,126.406778,48.966474
Y245,126.406117,48.966035
Y246,126.006253,48.967727
Y247,126.004915,48.967605
Y248,126.004698,48.968587
Y249,126.006023,48.968691
Y250,126.005497,48.968179
Y251,125.640545,49.139003
Y252,125.641493,49.13945
Y253,125.640727,49.140158
Y254,125.639822,49.139647
Y255,125.64058,49.139679
Y256,125.231745,49.158623
Y257,125.23162,49.159512
Y258,125.232877,49.159653
Y259,127.232995,49.158879
Y260,125.232177,49.159171
